movie_id,director,producer,actor_1,actor_2,actor_3
1979,Tim Story,Bernd Eichinger,Ioan Gruffudd,Jessica Alba,Chris Evans
87827,Ang Lee,Gil Netter,Suraj Sharma,Irrfan Khan,Ayush Tandon
1250,Mark Steven Johnson,Michael De Luca,Nicolas Cage,Eva Mendes,Wes Bentley
324668,Paul Greengrass,Frank Marshall,Matt Damon,Alicia Vikander,Tommy Lee Jones
9471,McG,Nancy Juvonen,Cameron Diaz,Drew Barrymore,Lucy Liu
70981,Ridley Scott,Ridley Scott,Noomi Rapace,Michael Fassbender,Guy Pearce
10996,Rob Minkoff,Douglas Wick,Michael J. Fox,Geena Davis,Hugh Laurie
68724,Neill Blomkamp,Simon Kinberg,Matt Damon,Jodie Foster,Sharlto Copley
2789,David Twohy,Scott Kroopf,Vin Diesel,Thandie Newton,Karl Urban
97020,José Padilha,Roger Birnbaum,Joel Kinnaman,Gary Oldman,Michael Keaton
7459,Lilly Wachowski,Joel Silver,Emile Hirsch,Christina Ricci,Matthew Fox
42888,James L. Brooks,James L. Brooks,Reese Witherspoon,Paul Rudd,Owen Wilson
37834,James Mangold,Cathy Konrad,Tom Cruise,Cameron Diaz,Peter Sarsgaard
75612,Joseph Kosinski,Duncan Henderson,Tom Cruise,Morgan Freeman,Olga Kurylenko
1895,George Lucas,Rick McCallum,Ewan McGregor,Natalie Portman,Hayden Christensen
1894,George Lucas,George Lucas,Ewan McGregor,Natalie Portman,Hayden Christensen
585,Pete Docter,Darla K. Anderson,John Goodman,Billy Crystal,Mary Gibbs
76170,James Mangold,Hugh Jackman,Hugh Jackman,Hiroyuki Sanada,Famke Janssen
1893,George Lucas,Rick McCallum,Liam Neeson,Ewan McGregor,Natalie Portman
49519,Chris Sanders,Jane Hartwell,Nicolas Cage,Emma Stone,Ryan Reynolds
2395,Thomas Langmann,Thomas Langmann,Clovis Cornillac,Gérard Depardieu,Franck Dubosc
12100,John Woo,John Woo,Nicolas Cage,Adam Beach,Peter Stormare
290595,Cedric Nicolas-Troyan,Joe Roth,Chris Hemsworth,Charlize Theron,Emily Blunt
98566,Jonathan Liebesman,Michael Bay,Megan Fox,Will Arnett,William Fichtner
49047,Alfonso Cuarón,David Heyman,Sandra Bullock,George Clooney,Ed Harris
9619,Roger Donaldson,Gale Anne Hurd,Pierce Brosnan,Linda Hamilton,Jamie Renée Smith
308531,Dave Green,NA,Megan Fox,Stephen Amell,Will Arnett
166424,Josh Trank,Matthew Vaughn,Miles Teller,Kate Mara,Michael B. Jordan
1593,Shawn Levy,Chris Columbus,Ben Stiller,Jake Cherry,Carla Gugino
254128,Brad Peyton,Beau Flynn,Dwayne Johnson,Alexandra Daddario,Carla Gugino
714,Roger Spottiswoode,Barbara Broccoli,Pierce Brosnan,Jonathan Pryce,Michelle Yeoh
2024,Roland Emmerich,Gary Levinsohn,Mel Gibson,Heath Ledger,Joely Richardson
163,Steven Soderbergh,Jerry Weintraub,George Clooney,Brad Pitt,Catherine Zeta-Jones
787,Doug Liman,Arnon Milchan,Angelina Jolie,Brad Pitt,Vince Vaughn
262500,Robert Schwentke,Douglas Wick,Shailene Woodley,Theo James,Kate Winslet
2567,Martin Scorsese,Michael Mann,Leonardo DiCaprio,Cate Blanchett,Kate Beckinsale
38745,Rob Letterman,NA,Jack Black,Amanda Peet,Emily Blunt
40805,Michel Gondry,Neal H. Moritz,Seth Rogen,Jay Chou,Christoph Waltz
53182,Noam Murro,Gianni Nunnari,Sullivan Stapleton,Eva Green,Lena Headey
41513,Raja Gosnell,Jordan Kerner,Hank Azaria,Neil Patrick Harris,Jayma Mays
13700,Will Finn,Alice Dewey,Roseanne Barr,Judi Dench,Jennifer Tilly
262504,Robert Schwentke,Douglas Wick,Shailene Woodley,Theo James,Zoë Kravitz
39254,Shawn Levy,Don Murphy,Hugh Jackman,Dakota Goyo,Evangeline Lilly
77931,Raja Gosnell,NA,Hank Azaria,Neil Patrick Harris,Brendan Gleeson
1639,Jan de Bont,Jan de Bont,Sandra Bullock,Jason Patric,Willem Dafoe
80274,Gavin Hood,Alex Kurtzman,Asa Butterfield,Harrison Ford,Hailee Steinfeld
